저널 IF 랭킹 600,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Advanced Intelligent Systems,ADV INTELL SYST-GER,WILEY-V C H VERLAG GMBH,,2640-4567,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6.7,43/210,0.20476190476190476,가능 (세부 논문 방향에 따라 융합 포장 필요)
NEUROCOMPUTING,NEUROCOMPUTING,ELSEVIER,0925-2312,1872-8286,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6.7,43/210,0.20476190476190476,가능 (통신 시스템/알고리즘 기여도 어필)
JOURNAL OF COMPUTER INFORMATION SYSTEMS,J COMPUT INFORM SYST,TAYLOR & FRANCIS INC,0887-4417,2380-2057,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6.6,39/266,0.14661654135338345,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
TELECOMMUNICATIONS POLICY,TELECOMMUN POLICY,ELSEVIER SCI LTD,0308-5961,1879-3258,TELECOMMUNICATIONS,6.5,23/127,0.18110236220472442,적합
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,PERGAMON-ELSEVIER SCIENCE LTD,0191-2615,1879-2367,TRANSPORTATION SCIENCE & TECHNOLOGY,6.5,16/80,0.2,가능 (미시적 통신보다 거시적 교통량 개선 및 물류 인프라 효과 강조)
Journal of King Saud University Computer and Information Sciences,J KING SAUD UNIV COM,SPRINGERNATURE,1319-1578,2213-1248,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6.4,41/266,0.15413533834586465,가능 (통신 시스템/알고리즘 기여도 어필)
Journal of Chemical Information and Modeling,J CHEM INF MODEL,AMER CHEMICAL SOC,1549-9596,1549-960X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6.4,41/266,0.15413533834586465,가능 (통신 시스템/알고리즘 기여도 어필)
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E,SAGE PUBLICATIONS INC,1069-2509,1875-8835,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6.4,48/210,0.22857142857142856,가능 (통신 시스템/알고리즘 기여도 어필)
ACM Transactions on Interactive Intelligent Systems,ACM T INTERACT INTEL,ASSOC COMPUTING MACHINERY,2160-6455,2160-6463,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6.4,48/210,0.22857142857142856,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE-ASME TRANSACTIONS ON MECHATRONICS,IEEE-ASME T MECH,IEEE,1083-4435,1941-014X,"ENGINEERING, ELECTRICAL & ELECTRONIC",6.3,52/369,0.14092140921409213,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,IEEE J-STARS,IEEE,1939-1404,2151-1535,"ENGINEERING, ELECTRICAL & ELECTRONIC",6.3,52/369,0.14092140921409213,가능 (UAV 및 위성 원격탐사 네트워크 연계 관점 필수)
Digital Communications and Networks,DIGIT COMMUN NETW,KEAI PUBLISHING LTD,2468-5925,2352-8648,TELECOMMUNICATIONS,6.3,24/127,0.1889763779527559,적합
ECONOMETRICA,ECONOMETRICA,WILEY,0012-9682,1468-0262,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",6.2,5/137,0.0364963503649635,가능 (세부 논문 방향에 따라 융합 포장 필요)
Journal of Modern Power Systems and Clean Energy,J MOD POWER SYST CLE,STATE GRID ELECTRIC POWER RESEARCH INST,2196-5625,2196-5420,"ENGINEERING, ELECTRICAL & ELECTRONIC",6.2,55/369,0.14905149051490515,불일치 (배터리/전력망/에너지 하드웨어 주력)
AUTOMATICA,AUTOMATICA,PERGAMON-ELSEVIER SCIENCE LTD,0005-1098,1873-2836,"ENGINEERING, ELECTRICAL & ELECTRONIC",6.2,55/369,0.14905149051490515,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
INFORMATION SYSTEMS FRONTIERS,INFORM SYST FRONT,SPRINGER,1387-3326,1572-9419,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6.2,43/266,0.16165413533834586,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
IEEE Transactions on Services Computing,IEEE T SERV COMPUT,IEEE COMPUTER SOC,1939-1374,1939-1374,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6.2,43/266,0.16165413533834586,가능 (통신 시스템/알고리즘 기여도 어필)
Sustainable Computing-Informatics & Systems,SUSTAIN COMPUT-INFOR,ELSEVIER,2210-5379,2210-5387,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6.2,43/266,0.16165413533834586,가능 (통신 시스템/알고리즘 기여도 어필)
IEEE TRANSACTIONS ON ENERGY CONVERSION,IEEE T ENERGY CONVER,IEEE,0885-8969,1558-0059,"ENGINEERING, ELECTRICAL & ELECTRONIC",6.1,59/369,0.15989159891598917,불일치 (배터리/전력망/에너지 하드웨어 주력)
International Journal of Neural Systems,INT J NEURAL SYST,WORLD SCIENTIFIC PUBL CO PTE LTD,0129-0657,1793-6462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6.1,53/210,0.2523809523809524,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,IEEE T SOFTWARE ENG,IEEE COMPUTER SOC,0098-5589,1939-3520,"ENGINEERING, ELECTRICAL & ELECTRONIC",6,60/369,0.16260162601626016,가능 (세부 논문 방향에 따라 융합 포장 필요)
INFORMATION SCIENCES,INFORM SCIENCES,ELSEVIER SCIENCE INC,0020-0255,1872-6291,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6,49/266,0.18421052631578946,가능 (통신 시스템/알고리즘 기여도 어필)
ROBOTICS AND AUTONOMOUS SYSTEMS,ROBOT AUTON SYST,ELSEVIER,0921-8890,1872-793X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6,57/210,0.2714285714285714,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE T EM TOP COMP I,IEEE,2471-285X,2471-285X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6,57/210,0.2714285714285714,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
AUTONOMOUS ROBOTS,AUTON ROBOT,SPRINGER,0929-5593,1573-7527,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6,57/210,0.2714285714285714,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,IEEE T PARALL DISTR,IEEE COMPUTER SOC,1045-9219,1558-2183,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.9,63/369,0.17073170731707318,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,IEEE T ANTENN PROPAG,IEEE,0018-926X,1558-2221,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.9,63/369,0.17073170731707318,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE TRANSACTIONS ON BROADCASTING,IEEE T BROADCAST,IEEE,0018-9316,1557-9611,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.9,63/369,0.17073170731707318,적합
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,INT J GEOGR INF SCI,TAYLOR & FRANCIS LTD,1365-8816,1362-3087,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.9,51/266,0.19172932330827067,가능 (통신 시스템/알고리즘 기여도 어필)
European Transport Research Review,EUR TRANSP RES REV,SPRINGER,1867-0717,1866-8887,TRANSPORTATION SCIENCE & TECHNOLOGY,5.8,18/80,0.225,가능 (서베이/매거진 형식으로 작성)
CHAOS SOLITONS & FRACTALS,CHAOS SOLITON FRACT,PERGAMON-ELSEVIER SCIENCE LTD,0960-0779,1873-2887,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",5.7,6/137,0.043795620437956206,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE Journal of Emerging and Selected Topics in Power Electronics,IEEE J EM SEL TOP P,IEEE,2168-6777,2168-6785,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.7,68/369,0.1842818428184282,불일치 (배터리/전력망/에너지 하드웨어 주력)
Sustainable Energy Grids & Networks,SUSTAIN ENERGY GRIDS,ELSEVIER,2352-4677,2352-4677,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.7,68/369,0.1842818428184282,불일치 (배터리/전력망/에너지 하드웨어 주력)
High Voltage,HIGH VOLT,WILEY,2397-7264,2397-7264,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.7,68/369,0.1842818428184282,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE Transactions on Network and Service Management,IEEE T NETW SERV MAN,IEEE,1932-4537,1932-4537,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.7,53/266,0.19924812030075187,적합
Vehicular Communications,VEH COMMUN,ELSEVIER,2214-2096,2214-2096,TELECOMMUNICATIONS,5.7,30/127,0.23622047244094488,적합
IEEE JOURNAL OF OCEANIC ENGINEERING,IEEE J OCEANIC ENG,IEEE,0364-9059,1558-1691,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.6,72/369,0.1951219512195122,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,IEEE T CIRCUITS-I,IEEE,1549-8328,1558-0806,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.6,72/369,0.1951219512195122,불일치 (반도체/전자 소자 하드웨어 주력)
IEEE JOURNAL OF SOLID-STATE CIRCUITS,IEEE J SOLID-ST CIRC,IEEE,0018-9200,1558-173X,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.6,72/369,0.1951219512195122,불일치 (반도체/전자 소자 하드웨어 주력)
CSEE Journal of Power and Energy Systems,CSEE J POWER ENERGY,CHINA ELECTRIC POWER RESEARCH INST,2096-0042,2096-0042,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.6,72/369,0.1951219512195122,불일치 (배터리/전력망/에너지 하드웨어 주력)
IEEE Circuits and Systems Magazine,IEEE CIRC SYST MAG,IEEE,1531-636X,1558-0830,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.6,72/369,0.1951219512195122,가능 (서베이/매거진 형식으로 작성)
ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,ASSOC COMPUTING MACHINERY,1551-6857,1551-6865,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.6,54/266,0.20300751879699247,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
APPLIED MATHEMATICAL MODELLING,APPL MATH MODEL,ELSEVIER SCIENCE INC,0307-904X,1872-8480,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",5.5,7/137,0.051094890510948905,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
Cluster Computing-The Journal of Networks Software Tools and Applications,CLUSTER COMPUT,SPRINGER,1386-7857,1573-7543,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.5,55/266,0.20676691729323307,적합
Journal of Cloud Computing-Advances Systems and Applications,J CLOUD COMPUT-ADV S,SPRINGER,,2192-113X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.5,55/266,0.20676691729323307,가능 (통신 시스템/알고리즘 기여도 어필)
DATA MINING AND KNOWLEDGE DISCOVERY,DATA MIN KNOWL DISC,SPRINGER,1384-5810,1573-756X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.5,55/266,0.20676691729323307,가능 (RSU/차량 간 분산 데이터 처리 아키텍처 강조)
Optical Switching and Networking,OPT SWITCH NETW,ELSEVIER,1573-4277,1872-9770,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.5,55/266,0.20676691729323307,적합
IEEE TRANSACTIONS ON SIGNAL PROCESSING,IEEE T SIGNAL PROCES,IEEE,1053-587X,1941-0476,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.5,77/369,0.2086720867208672,가능 (세부 논문 방향에 따라 융합 포장 필요)
COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,PERGAMON-ELSEVIER SCIENCE LTD,0045-7906,1879-0755,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.5,77/369,0.2086720867208672,가능 (통신 시스템/알고리즘 기여도 어필)
IEEE Intelligent Transportation Systems Magazine,IEEE INTEL TRANSP SY,IEEE,1939-1390,1941-1197,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.5,77/369,0.2086720867208672,가능 (서베이/매거진 형식으로 작성)
TSINGHUA SCIENCE AND TECHNOLOGY,TSINGHUA SCI TECHNOL,TSINGHUA UNIV PRESS,1007-0214,1878-7606,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.4,80/369,0.21680216802168023,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE TRANSACTIONS ON RELIABILITY,IEEE T RELIAB,IEEE,0018-9529,1558-1721,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.4,80/369,0.21680216802168023,가능 (세부 논문 방향에 따라 융합 포장 필요)
Ad Hoc Networks,AD HOC NETW,ELSEVIER,1570-8705,1570-8713,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.4,60/266,0.22556390977443608,적합
INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,INT J NUMER METHOD H,EMERALD GROUP PUBLISHING LTD,0961-5539,1758-6585,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",5.3,8/137,0.058394160583941604,가능 (세부 논문 방향에 따라 융합 포장 필요)
INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,INT J ELEC POWER,ELSEVIER SCI LTD,0142-0615,1879-3517,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.3,82/369,0.2222222222222222,불일치 (배터리/전력망/에너지 하드웨어 주력)
CONTROL ENGINEERING PRACTICE,CONTROL ENG PRACT,PERGAMON-ELSEVIER SCIENCE LTD,0967-0661,1873-6939,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.3,82/369,0.2222222222222222,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
IEEE-ACM TRANSACTIONS ON NETWORKING,IEEE ACM T NETWORK,IEEE,1063-6692,1558-2566,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.3,82/369,0.2222222222222222,적합
IEEE Transactions on Cloud Computing,IEEE T CLOUD COMPUT,IEEE,2168-7161,2168-7161,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.3,62/266,0.23308270676691728,가능 (통신 시스템/알고리즘 기여도 어필)
IEEE Transactions on Control of Network Systems,IEEE T CONTROL NETW,IEEE,2325-5870,2372-2533,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.3,62/266,0.23308270676691728,적합
IEEE Transactions on Sustainable Computing,IEEE T SUST COMPUT,IEEE,2377-3782,2377-3782,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.3,62/266,0.23308270676691728,가능 (통신 시스템/알고리즘 기여도 어필)
VLDB JOURNAL,VLDB J,SPRINGER,1066-8888,0949-877X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.3,62/266,0.23308270676691728,가능 (세부 논문 방향에 따라 융합 포장 필요)
Artificial Intelligence and Law,ARTIF INTELL LAW,SPRINGER,0924-8463,1572-8382,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5.3,62/210,0.29523809523809524,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,IEEE T IND APPL,IEEE,0093-9994,1939-9367,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.2,85/369,0.23035230352303523,가능 (스마트 팩토리/산업용 IoT 인프라로 환경 설정)
IEEE-ACM Transactions on Audio Speech and Language Processing,IEEE-ACM T AUDIO SPE,IEEE,2329-9290,,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.2,85/369,0.23035230352303523,불일치 (자연어/음성 처리 주력)
JOURNAL OF LIGHTWAVE TECHNOLOGY,J LIGHTWAVE TECHNOL,IEEE,0733-8724,1558-2213,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.2,85/369,0.23035230352303523,불일치 (양자/광학 물리 주력)
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,IEEE T MICROW THEORY,IEEE,0018-9480,1557-9670,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.2,85/369,0.23035230352303523,가능 (세부 논문 방향에 따라 융합 포장 필요)
MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING,MAT SCI SEMICON PROC,ELSEVIER SCI LTD,1369-8001,1873-4081,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.2,85/369,0.23035230352303523,가능 (세부 논문 방향에 따라 융합 포장 필요)
ACM Transactions on Autonomous and Adaptive Systems,ACM T AUTON ADAP SYS,ASSOC COMPUTING MACHINERY,1556-4665,1556-4703,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.2,67/266,0.2518796992481203,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,IEEE AERO EL SYS MAG,IEEE,0885-8985,1557-959X,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.1,90/369,0.24390243902439024,가능 (서베이/매거진 형식으로 작성)
IEEE Wireless Communications Letters,IEEE WIREL COMMUN LE,IEEE,2162-2337,2162-2345,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.1,90/369,0.24390243902439024,적합
SENSORS AND ACTUATORS A-PHYSICAL,SENSOR ACTUAT A-PHYS,ELSEVIER SCIENCE SA,0924-4247,1873-3069,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.1,90/369,0.24390243902439024,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE Transactions on Biomedical Circuits and Systems,IEEE T BIOMED CIRC S,IEEE,1932-4545,1940-9990,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.1,90/369,0.24390243902439024,불일치 (의료/생명과학 주력)
Journal of Organizational and End User Computing,J ORGAN END USER COM,IGI GLOBAL,1546-2234,1546-5012,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.1,69/266,0.2593984962406015,가능 (통신 시스템/알고리즘 기여도 어필)
Journal of Optical Communications and Networking,J OPT COMMUN NETW,Optica Publishing Group,1943-0620,1943-0639,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.1,69/266,0.2593984962406015,적합
ACM Transactions on Internet Technology,ACM T INTERNET TECHN,ASSOC COMPUTING MACHINERY,1533-5399,1557-6051,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.1,69/266,0.2593984962406015,가능 (세부 논문 방향에 따라 융합 포장 필요)
Journal of the Association for Information Science and Technology,J ASSOC INF SCI TECH,WILEY,2330-1635,2330-1643,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.1,69/266,0.2593984962406015,가능 (통신 시스템/알고리즘 기여도 어필)
CAAI Transactions on Intelligence Technology,CAAI T INTELL TECHNO,WILEY,2468-6557,2468-2322,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5.1,65/210,0.30952380952380953,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
IEEE Consumer Electronics Magazine,IEEE CONSUM ELECTR M,IEEE,2162-2248,2162-2256,"ENGINEERING, ELECTRICAL & ELECTRONIC",5,95/369,0.25745257452574527,가능 (서베이/매거진 형식으로 작성)
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,ELSEVIER,0262-8856,1872-8138,"ENGINEERING, ELECTRICAL & ELECTRONIC",5,95/369,0.25745257452574527,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,INT J MED INFORM,ELSEVIER IRELAND LTD,1386-5056,1872-8243,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5,74/266,0.2781954887218045,불일치 (의료/생명과학 주력)
International Journal of Information Security,INT J INF SECUR,SPRINGER,1615-5262,1615-5270,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5,74/266,0.2781954887218045,가능 (통신 시스템/알고리즘 기여도 어필)
TRANSPORTATION SCIENCE,TRANSPORT SCI,INFORMS,0041-1655,,TRANSPORTATION SCIENCE & TECHNOLOGY,5,24/80,0.3,가능 (미시적 통신보다 거시적 교통량 개선 및 물류 인프라 효과 강조)
Journal of Artificial Intelligence and Soft Computing Research,J ARTIF INTELL SOFT,Paradigm Publishing Services-De Gruyter Brill Sp Zoo,2083-2567,2449-6499,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5,67/210,0.319047619047619,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION,APPL MATH MECH-ENGL,SHANGHAI UNIV,0253-4827,1573-2754,"MATHEMATICS, APPLIED",4.9,2/345,0.005797101449275362,불일치 (전산 역학/음향 물리 주력)
Mathematical Programming Computation,MATH PROGRAM COMPUT,SPRINGER HEIDELBERG,1867-2949,1867-2957,"MATHEMATICS, APPLIED",4.9,2/345,0.005797101449275362,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
IEEE TRANSACTIONS ON COMPUTERS,IEEE T COMPUT,IEEE COMPUTER SOC,0018-9340,1557-9956,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.9,97/369,0.26287262872628725,가능 (통신 시스템/알고리즘 기여도 어필)
IEEE Systems Journal,IEEE SYST J,IEEE,1932-8184,1937-9234,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.9,97/369,0.26287262872628725,가능 (세부 논문 방향에 따라 융합 포장 필요)
Journal of Real-Time Image Processing,J REAL-TIME IMAGE PR,SPRINGER HEIDELBERG,1861-8200,1861-8219,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.9,97/369,0.26287262872628725,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
ACM Transactions on the Web,ACM T WEB,ASSOC COMPUTING MACHINERY,1559-1131,1559-114X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4.9,77/266,0.2894736842105263,가능 (세부 논문 방향에 따라 융합 포장 필요)
MACHINE LEARNING,MACH LEARN,SPRINGER,0885-6125,1573-0565,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4.9,69/210,0.32857142857142857,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
IEEE Geoscience and Remote Sensing Letters,IEEE GEOSCI REMOTE S,IEEE,1545-598X,1558-0571,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.8,101/369,0.27371273712737126,가능 (UAV 및 위성 원격탐사 네트워크 연계 관점 필수)
IEEE Transactions on Emerging Topics in Computing,IEEE T EMERG TOP COM,IEEE,2168-6750,2168-6750,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4.8,80/266,0.3007518796992481,가능 (통신 시스템/알고리즘 기여도 어필)
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,INT J INTELL SYST,WILEY,0884-8173,1098-111X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4.8,73/210,0.3476190476190476,가능 (세부 논문 방향에 따라 융합 포장 필요)
Journal of Econometrics,J ECONOMETRICS,ELSEVIER SCIENCE SA,0304-4076,1872-6895,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",4.7,9/137,0.06569343065693431,가능 (세부 논문 방향에 따라 융합 포장 필요)
Computer Networks,COMPUT NETW,ELSEVIER,1389-1286,1872-7069,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.7,104/369,0.28184281842818426,적합
IEEE TRANSACTIONS ON POWER DELIVERY,IEEE T POWER DELIVER,IEEE,0885-8977,1937-4208,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.7,104/369,0.28184281842818426,불일치 (배터리/전력망/에너지 하드웨어 주력)
IEEE Transactions on Computational Imaging,IEEE T COMPUT IMAG,IEEE,2573-0436,2333-9403,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.7,104/369,0.28184281842818426,가능 (세부 논문 방향에 따라 융합 포장 필요)
ACS Applied Electronic Materials,ACS APPL ELECTRON MA,AMER CHEMICAL SOC,,2637-6113,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.7,104/369,0.28184281842818426,가능 (세부 논문 방향에 따라 융합 포장 필요)
ACM Transactions on Sensor Networks,ACM T SENSOR NETWORK,ASSOC COMPUTING MACHINERY,1550-4859,1550-4867,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4.7,82/266,0.3082706766917293,적합
IEEE Transactions on Cognitive and Developmental Systems,IEEE T COGN DEV SYST,IEEE,2379-8920,2379-8939,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4.7,74/210,0.3523809523809524,가능 (세부 논문 방향에 따라 융합 포장 필요)
ARTIFICIAL INTELLIGENCE,ARTIF INTELL-AMST,ELSEVIER,0004-3702,1872-7921,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4.7,74/210,0.3523809523809524,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
MINDS AND MACHINES,MIND MACH,SPRINGER,0924-6495,1572-8641,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4.7,74/210,0.3523809523809524,가능 (세부 논문 방향에 따라 융합 포장 필요)
Grey Systems-Theory and Application,GREY SYST,EMERALD GROUP PUBLISHING LTD,2043-9377,2043-9385,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",4.6,10/137,0.072992700729927,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,IEEE T CIRCUITS-II,IEEE,1549-7747,1558-3791,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.6,108/369,0.2926829268292683,불일치 (반도체/전자 소자 하드웨어 주력)
IEEE Transactions on Signal and Information Processing over Networks,IEEE T SIGNAL INF PR,IEEE,2373-776X,2373-776X,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.6,108/369,0.2926829268292683,적합
IEEE Antennas and Wireless Propagation Letters,IEEE ANTENN WIREL PR,IEEE,1536-1225,1548-5757,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.6,108/369,0.2926829268292683,적합
IEEE ELECTRON DEVICE LETTERS,IEEE ELECTR DEVICE L,IEEE,0741-3106,1558-0563,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.6,108/369,0.2926829268292683,가능 (세부 논문 방향에 따라 융합 포장 필요)
International Journal of Critical Infrastructure Protection,INT J CRIT INFR PROT,ELSEVIER,1874-5482,2212-2087,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4.6,84/266,0.3157894736842105,가능 (세부 논문 방향에 따라 융합 포장 필요)
ICT Express,ICT EXPRESS,ELSEVIER,2405-9595,2405-9595,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4.6,84/266,0.3157894736842105,가능 (세부 논문 방향에 따라 융합 포장 필요)
INFORMATION AND SOFTWARE TECHNOLOGY,INFORM SOFTWARE TECH,ELSEVIER,0950-5849,1873-6025,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4.6,84/266,0.3157894736842105,가능 (통신 시스템/알고리즘 기여도 어필)
